claim_text,section_or_table,paper_value,recomputed_value,raw_file_used,filter_applied,MATCH/MISMATCH/NOT_RECOMPUTABLE,note
Table 7 BW Llama W3,Table 7,.108,0.107692,BW_P1_behavioral.csv / BW_P1_behavioral_llama.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,7/65
Table 7 BW Llama W4,Table 7,.000,0,BW_P1_behavioral.csv / BW_P1_behavioral_llama.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,0/65
Table 7 BW Llama W5,Table 7,.000,0,BW_P1_behavioral.csv / BW_P1_behavioral_llama.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,0/60
Table 7 BW o4-mini canonical,Table 7,.769,0.769231,BW_P1_behavioral.csv / BW_P1_behavioral_o1mini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,50/65
Table 7 BW o4-mini W1,Table 7,.754,0.753846,BW_P1_behavioral.csv / BW_P1_behavioral_o1mini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,49/65
Table 7 BW o4-mini W2,Table 7,.738,0.738462,BW_P1_behavioral.csv / BW_P1_behavioral_o1mini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,48/65
Table 7 BW o4-mini W3,Table 7,.185,0.184615,BW_P1_behavioral.csv / BW_P1_behavioral_o1mini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,12/65
Table 7 BW o4-mini W4,Table 7,.415,0.415385,BW_P1_behavioral.csv / BW_P1_behavioral_o1mini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,27/65
Table 7 BW o4-mini W5,Table 7,.769,0.833333,BW_P1_behavioral.csv / BW_P1_behavioral_o1mini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MISMATCH,50/60
Table 9 / §4.5 ALGO n instances,Table 9,440,440,results/derived/ALGO_P3_triangulation_v3.csv,110 problems × 4 models,MATCH,"{'ambiguous': 271, 'mixed': 157, 'retrieval_signal': 8, 'computation_signal': 4}"
§4.5 retrieval-consistent count,§4.5 / Table 9,8,8,ALGO_P3_triangulation_v3.csv,strict thresholds,MATCH,
§4.5 computation-consistent count,§4.5 / Table 9,4,4,ALGO_P3_triangulation_v3.csv,strict thresholds,MATCH,
§4.5 mixed count,§4.5,157,157,ALGO_P3_triangulation_v3.csv,strict,MATCH,
§4.5 ambiguous count,§4.5,271,271,ALGO_P3_triangulation_v3.csv,strict,MATCH,
§4.5 ambiguous %,§4.5 / Table 9,61.6%,0.615909,ALGO_P3_triangulation_v3.csv,271/440,MATCH,
Table 9 legacy retrieval %,Table 9,1.8%,0.0181818,ALGO_P3_triangulation_v3.csv,8/440,MATCH,
Table 9 legacy computation %,Table 9,0.9%,0.00909091,ALGO_P3_triangulation_v3.csv,4/440,MATCH,
Table 9 legacy strong total %,Table 9,2.7%,0.0272727,ALGO_P3_triangulation_v3.csv,12/440,MATCH,
Table 9 liberal v2 retrieval %,Table 9,27.3%,"0.273 (from derived triangulation_v2_summary.md, not raw)",results/derived/triangulation_v2_summary.md (param_id=204),not recomputed from raw in this pass; confirmed in derived summary,NOT_RECOMPUTABLE,Value taken from triangulation_v2_summary.md; raw vote matrix not re-aggregated here
Table 9 liberal v2 computation %,Table 9,30.4%,0.304 (derived summary),triangulation_v2_summary.md,param 204,NOT_RECOMPUTABLE,Confirmed in derived summary; not re-derived from results/raw/
Table 9 liberal v2 strong total %,Table 9,57.7%,0.577 (derived summary),triangulation_v2_summary.md,param 204,NOT_RECOMPUTABLE,
Table 9 liberal v2 ambiguous %,Table 9,37.9%,0.379 (derived summary),triangulation_v2_summary.md,param 204,NOT_RECOMPUTABLE,
§4.1 Claude SP canonical %,§4.1,64.7%,0.647,frozen + ALGO_P1_behavioral_claude.csv,SP-adv n=34 frozen list,MATCH,22/34
§4.1 Claude SP W3 %,§4.1,0.0%,0,frozen,SP-adv n=34,MATCH,0/34
§4.1 Claude SP can CI,§4.1,"[0.48,0.79]","[0.48,0.79]",frozen,n=34,MATCH,
§4.1 GPT-4o SP canonical %,§4.1,41.2%,0.412,frozen + ALGO_P1_behavioral_gpt4o.csv,SP-adv n=34,MATCH,14/34
§4.1 GPT-4o SP W3 %,§4.1,26.5%,0.265,frozen,SP-adv n=34,MATCH,9/34
§4.1 Fisher SP p,§4.1,0.0021,0.0021287,frozen W3 SP-adv,Claude 0/34 vs GPT-4o 9/34,MATCH,
§4.1 Claude W3 count SP,§4.1,0/34,0/34,frozen,SP-adv,MATCH,frozen k=0 n=34
§4.1 GPT-4o W3 count SP,§4.1,9/34,9/34,frozen,SP-adv,MATCH,frozen k=9 n=34
§4.1 Fisher CC p,§4.1,0.0108,0.0108359,frozen W3 CC-adv,Claude 6/10 vs GPT-4o 0/10,MATCH,
§4.1 Claude CC W3 retention (6/10),§4.1,60%,0.6,frozen,CC-adv n=10,MATCH,6/10
§4.1 GSM Claude/Gemini/o4-mini Acc_can min,§4.1,0.841,0.840909,"GSM_P1_behavioral_{claude,gemini,o1mini}.csv",n=44 bank,MATCH,
§4.1 GSM Gemini Acc_can max,§4.1,0.909,0.909091,GSM_P1_behavioral_gemini.csv,n=44,MATCH,
§4.1 GSM Claude R_W3,§4.1,.892,0.891892,GSM_P1_behavioral_claude.csv,n=44,MATCH,
§4.1 GSM Gemini R_W3,§4.1,.575,0.575,GSM_P1_behavioral_gemini.csv,n=44,MATCH,
§4.1 GSM o4-mini R_W3,§4.1,1.00,1,GSM_P1_behavioral_o1mini.csv,n=44,MATCH,
§4.1 phi GPT-4o ALGO,§4.1,+0.43,0.431795,ALGO_P1_behavioral_gpt4o.csv,n=110 drop mock,MATCH,
§4.1 phi o4-mini GSM,§4.1,+0.66,0.660232,GSM_P1_behavioral_o1mini.csv,n=44,MATCH,
§4.1 ALGO rank-retention Spearman rho,§4.1,+0.90,0.9,ALGO_P1_behavioral_{*}.csv,5 models; Acc_can vs W3/Acc_can,MATCH,
§4.1 ALGO rank-retention p,§4.1,0.04,0.0373861,same,n=5 Holm n.s.,MATCH,
"§4.1 universally W3-fragile 26/110 (12 SP, 11 WIS, 3 CC)",§4.1,26/110,not uniquely recoverable,"ALGO_P1_behavioral_{claude,gpt4o,llama,gemini}.csv",several operationalizations tried,NOT_RECOMPUTABLE,"All-4-models W3=False yields 68 (26 SP, 28 WIS, 14 CC). Frozen-adv subset yields 38 (20 SP, 16 WIS, 2 CC). scripts/runs/cross_probe_patterns.py requires >=4 models canon-correct AND W3-collapse (4 problems across families, not 26 ALGO). No released definition reproduces 12/11/3."
§4.1 o4-mini WIS-chall canonical,§4.1,1.00,1,ALGO_P1_behavioral_o1mini.csv,WIS-adv frozen 17,MATCH,
§4.1 o4-mini WIS-chall W3,§4.1,0.00,0,ALGO_P1_behavioral_o1mini.csv,WIS-adv frozen 17,MATCH,
§4.1 SP W5 suite floor,§4.1,4%,0.04,ALGO_P1_* W5 rows (SP only),all models W5,MATCH,"max=0.040 among [('Claude', 0.0, 50), ('GPT-4o', 0.0, 50), ('Llama', 0.0, 50), ('Gemini', 0.02, 50), ('o4-mini', 0.04, 50)]"
Setup o4-mini ALGO canonical,§3 / Setup,1.00,1,ALGO_P1_behavioral_o1mini.csv,n=110 drop mock,MATCH,110/110
Setup o4-mini GSM canonical,§3 / Setup,0.841,0.840909,GSM_P1_behavioral_o1mini.csv,n=44,MATCH,
Setup o4-mini BW W3,§3 / Setup,0.185,0.184615,BW_P1_behavioral_o1mini.csv,bank n=65,MATCH,
GSM bank n,§3 / Conclusion,44,44,data/problems/question_bank_gsm.csv,canonical IDs,MATCH,
BW bank n,§3 / Conclusion,65,65,data/problems/question_bank_bw.csv,canonical IDs,MATCH,
ALGO bank n,§3 / Conclusion,110,110,data/problems/question_bank_algo.csv,canonical IDs,MATCH,
Full bank 219,Abstract / Conclusion,219,219,three question banks,44+65+110,MATCH,
§4.2 Claude mean CCI ~23%,§4.2,23%,0.231059,GSM_P2_cci.csv,n=44,MATCH,
§4.2 GPT-4o mean CCI ~11%,§4.2,11%,0.108334,GSM_P2_cci.csv,n=44,MATCH,
§4.2 GPT-4o Acc_P2A 70.5%,§4.2 / Conclusion,70.5%,,GSM_P2_session_correct.csv,phase2a_correct (unrecoverable from stored files),NOT_RECOMPUTABLE,
Conclusion GPT-4o ~70%,Conclusion,70%,0.704545,GSM_P2_cci.csv,either_session_correct (was labelled Acc_P2A),MATCH,
Conclusion Claude GSM CCI,Conclusion,0.231,0.231059,GSM_P2_cci.csv,n=44,MATCH,
§4.2 Claude CCI vs correctness rho,§4.2,0.14,0.135304,GSM_P2_cci.csv,n=44,MATCH,
§4.2 Claude CCI vs correctness p,§4.2,0.38,0.38119,GSM_P2_cci.csv,n=44,MATCH,
§4.2 Gemini zero-CCI count,§4.2,10,10,GSM_P2_cci.csv,n=44,MATCH,
§4.2 Claude zero-CCI count,§4.2,14,14,GSM_P2_cci.csv,n=44,MATCH,
§4.2 Llama zero-CCI count,§4.2,24,24,GSM_P2_cci.csv,n=44,MATCH,
§4.2 GPT-4o zero-CCI count,§4.2,29,29,GSM_P2_cci.csv,n=44,MATCH,
§4.2 GPT-4o zero-CCI with no extractable steps,§4.2 / §3.1,17,17,GSM_P2_cci.csv,cci_score==0 and cci_total==0,MATCH,n_zero=29
§4.2 GPT-4o zero-CCI declared-then-diverged,§4.2,12,12,GSM_P2_cci.csv,cci_score==0 and cci_total>0,MATCH,
§4.2 GPT-4o empty-declaration Acc,§4.2,0.69,0.705882,GSM_P2_cci.csv,17/29,MISMATCH,
§4.2 GPT-4o diverged Acc,§4.2,0.73,0.666667,GSM_P2_cci.csv,12/29,MISMATCH,
§4.2 Gemini mean CCI,§4.2 figure,0.270,0.269698,GSM_P2_cci.csv,n=44,MATCH,
§4.2 o4-mini parseable,§4.2 / Table 4 caption,43/44,43/44,GSM_P2_phase1_o1mini.csv,phase1_parseable (dropped from merged GSM_P2_cci common columns),MATCH,
§4.2 o4-mini mean CCI parseable,§4.2,0.22,0.220207,GSM_P2_phase1_o1mini.csv,43/44 parseable,MATCH,
§4.2 TEP min,§4.2,0.54,0.539016,GSM_P2_cci.csv,five-model means,MATCH,
§4.2 TEP max,§4.2,0.77,0.772727,GSM_P2_cci.csv,five-model means,MATCH,
§4.2 Claude injection compliant,§4.2,88.5%,0.885246,ALGO_P2_phase2_injected.csv,"injection_applied rows, n_problems=61",MATCH,
§4.2 GPT-4o injection compliant,§4.2,93.4%,0.934426,ALGO_P2_phase2_injected.csv,"injection_applied rows, n_problems=61",MATCH,
§4.2 Llama injection compliant,§4.2,39.3%,0.393443,ALGO_P2_phase2_injected.csv,"injection_applied rows, n_problems=61",MATCH,
§4.2 o4-mini injection compliant,§4.2,100%,1,ALGO_P2_phase2_injected.csv,"injection_applied rows, n_problems=61",MATCH,
§4.2 Gemini injection compliant,§4.2,0%,0,ALGO_P2_phase2_injected.csv,"injection_applied rows, n_problems=61",MATCH,
§4.2 Claude post-inj plausible acc,§4.2,52.5%,0.52459,ALGO_P2_phase2_injected.csv,n=61,MATCH,
§4.2 Claude post-inj comparison figure (paper second number),§4.2,54.1%,0.52459,implausible file OR pooled 54.1%,implausible last-row acc=0.525; paper Claude 54.1% is pooled implausible aggregate n=122,MISMATCH,
§4.2 GPT-4o post-inj plausible acc,§4.2,50.8%,0.508197,ALGO_P2_phase2_injected.csv,n=61,MATCH,
§4.2 GPT-4o post-inj comparison figure (paper second number),§4.2,55.7%,0.557377,ALGO_P2_phase2_injected_implausible.csv,implausible last-row acc=0.557; paper Claude 54.1% is pooled implausible aggregate n=122,MATCH,
§4.2 o4-mini post-inj plausible acc,§4.2,37.7%,0.377049,ALGO_P2_phase2_injected.csv,n=61,MATCH,
§4.2 o4-mini post-inj comparison figure (paper second number),§4.2,40.9%,0.42623,ALGO_P2_phase2_injected_implausible.csv,implausible last-row acc=0.426; paper Claude 54.1% is pooled implausible aggregate n=122,MISMATCH,
§4.2 Claude plausible vs implausible Δpp,§4.2,0.0,0,injected + implausible CSVs,post_injection_correct last row,MATCH,
§4.2 GPT-4o plausible vs implausible Δpp,§4.2,+4.9,4.91803,injected + implausible CSVs,post_injection_correct last row,MATCH,
§4.2 Llama plausible vs implausible Δpp,§4.2,+3.3,3.27869,injected + implausible CSVs,post_injection_correct last row,MATCH,
§4.2 Gemini plausible vs implausible Δpp,§4.2,-3.3,-1.63934,injected + implausible CSVs,post_injection_correct last row,MISMATCH,
§4.2 o4-mini plausible vs implausible Δpp,§4.2,+4.9,4.91803,injected + implausible CSVs,post_injection_correct last row,MATCH,
§4.2 Claude P2A normal acc,§4.2,0.500,0.5,ALGO_P2_phase2_normal.csv,sessions=110,MATCH,
§4.2 Claude P2A elicited acc,§4.2,0.459,0.459016,ALGO_P2_phase2_normal_elicited.csv,sessions=61,MATCH,
§4.2 GPT-4o P2A normal acc,§4.2,0.500,0.5,ALGO_P2_phase2_normal.csv,sessions=110,MATCH,
§4.2 GPT-4o P2A elicited acc,§4.2,0.518,0.518182,ALGO_P2_phase2_normal_elicited.csv,sessions=110,MATCH,
§4.2 Gemini P2A normal acc,§4.2,0.300,0.3,ALGO_P2_phase2_normal.csv,sessions=110,MATCH,
§4.2 Gemini P2A elicited acc,§4.2,0.311,0.311475,ALGO_P2_phase2_normal_elicited.csv,sessions=61,MATCH,
§4.2 Llama P2A normal acc,§4.2,0.218,0.218182,ALGO_P2_phase2_normal.csv,sessions=110,MATCH,
§4.2 Llama P2A elicited acc,§4.2,0.148,0.147541,ALGO_P2_phase2_normal_elicited.csv,sessions=61,MATCH,
§4.2 o4-mini P2A normal acc,§4.2,0.436,0.436364,ALGO_P2_phase2_normal.csv,sessions=110,MATCH,
§4.2 o4-mini P2A elicited acc,§4.2,0.418,0.418182,ALGO_P2_phase2_normal_elicited.csv,sessions=110,MATCH,
§4.2 mean elicitation Δpp,§4.2 / Conclusion,-2.0,-2.00298,ALGO_P2_phase2_normal.csv + elicited,mean of 5 model deltas,MATCH,
§4.2 n injection instances,§4.2,61,61,ALGO_P2_phase2_injected.csv,adversarial subset by design,MATCH,
Conclusion Gemini canonical 91%,Conclusion,91%,0.909091,GSM_P1_behavioral_gemini.csv,n=44,MATCH,
§4.3 Claude proximity-VRI r (AUDIT file),§4.3,+0.44,0.44,results/paper/AUDIT/contamination_vri_algo_adversarial.csv (from P3+P1),n=61 (paper says n=64; this file n=61 = 34+10+17),MATCH,
§4.3 GPT-4o proximity-VRI r (AUDIT file),§4.3,+0.37,0.36,results/paper/AUDIT/contamination_vri_algo_adversarial.csv (from P3+P1),n=61 (paper says n=64; this file n=61 = 34+10+17),MISMATCH,
§4.3 Llama proximity-VRI r (AUDIT file),§4.3,0.12,0.11,results/paper/AUDIT/contamination_vri_algo_adversarial.csv (from P3+P1),n=61 (paper says n=64; this file n=61 = 34+10+17),MISMATCH,
§4.3 Gemini proximity-VRI r (AUDIT file),§4.3,0.12,0.12,results/paper/AUDIT/contamination_vri_algo_adversarial.csv (from P3+P1),n=61 (paper says n=64; this file n=61 = 34+10+17),MATCH,
§4.3 proximity pool n,§4.3,64,61,frozen adversarial union 34 SP + 10 CC + 17 WIS = 61,paper 64 ≠ frozen 61; bank adversarial is 71,MISMATCH,
§4.3 Claude partial r +0.41 p=0.0007,§4.3,+0.41,,not in results/raw as a precomputed partial; would need Infini-gram + VRI residualization,n=64 claimed,NOT_RECOMPUTABLE,AUDIT file has n=61 Pearson only
§4.3 GPT-4o partial r +0.39 p=0.002,§4.3,+0.39,,same,n=64,NOT_RECOMPUTABLE,
§4.3 Claude CCI proximity r +0.31 p=0.044 n=42,§4.3,+0.31,,GSM/ALGO P2 + P3 join,2 sessions dropped,NOT_RECOMPUTABLE,join not uniquely specified in raw
§4.3 o4-mini proximity r -0.094 p=0.46 n=64,§4.3,-0.094,,P3+P1,n=64,NOT_RECOMPUTABLE,
§4.4 Claude strict PDDL complete %,§4.4,16%,0.16,BW_P2_cci.csv,n=50 sessions,MATCH,
§4.4 GPT-4o strict PDDL complete %,§4.4,0%,0,BW_P2_cci.csv,n=50 sessions,MATCH,
§4.4 Llama strict PDDL complete %,§4.4,2%,0.02,BW_P2_cci.csv,n=50 sessions,MATCH,
§4.4 BW abort min,§4.4,84%,0.84,BW_P2_cci.csv,1-complete_rate,MATCH,
§4.4 BW abort max,§4.4,100%,1,BW_P2_cci.csv,1-complete_rate,MATCH,
§4.4 standard-BW sessions 150,§4.4,150,150,BW_P2_cci_nl.csv,50 problems × 3 models,MATCH,
§4.4 NL-tolerant standard-BW solves,§4.4,14/150,14/150,BW_P2_cci_nl.csv,goal_reached==True,MATCH,
§4.4 / Table 6 NL-tolerant covers all five models,§4.4 / Table 6,all five models,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",BW_P2_cci_nl.csv,models present in NL rerun,MISMATCH,"NL files contain 3 models: ['anthropic/claude-sonnet-4', 'meta-llama/llama-3.1-8b-instruct', 'openai/gpt-4o']"
§4.4 Mystery-BW sessions 45,§4.4,45,45,MBW_P2_cci_nl.csv,15×3,MATCH,
§4.4 Mystery-BW solves,§4.4,0/45,0/45,MBW_P2_cci_nl.csv,goal_reached,MATCH,
§4.4 Fisher NL vs strict p,§4.4,8.9e-5,8.88415e-05,BW_P2_cci.csv vs BW_P2_cci_nl.csv,paper contrast is 0/150 strict vs 14/150 NL (goal_reached); strict session_status complete is 9/150 not 0/150,MATCH,
§4.4 Claude rename Acc_can (P1 unfiltered),§4.4,0.422,0.422018,BW_P1_behavioral.csv (NOT NL-tolerant P2),paired n=109 includes extra-bank IDs for Claude/GPT/Llama,MATCH,
§4.4 Claude rename Acc_W5 (P1 unfiltered),§4.4,0.661,0.66055,BW_P1_behavioral*.csv,n=109,MATCH,
§4.4 Claude rename Δpp,§4.4 / Conclusion,23.9,23.8532,BW_P1 P1 W5,"paper attributes to NL-tolerant protocol — numbers match P1, not P2",MATCH,
§4.4 Claude rename Wilcoxon p,§4.4,1.0e-4,6.02e-05,BW_P1 paired can vs W5,n=109,MATCH,numeric p matches reported rounding; protocol label is P1 not NL P2
§4.4 Gemini rename Acc_can (P1 unfiltered),§4.4,0.385,0.384615,BW_P1_behavioral.csv (NOT NL-tolerant P2),paired n=65 includes extra-bank IDs for Claude/GPT/Llama,MATCH,
§4.4 Gemini rename Acc_W5 (P1 unfiltered),§4.4,0.569,0.569231,BW_P1_behavioral*.csv,n=65,MATCH,
§4.4 Gemini rename Δpp,§4.4 / Conclusion,18.5,18.4615,BW_P1 P1 W5,"paper attributes to NL-tolerant protocol — numbers match P1, not P2",MATCH,
§4.4 Gemini rename Wilcoxon p,§4.4,0.014,0.0143,BW_P1 paired can vs W5,n=65,MATCH,numeric p matches reported rounding; protocol label is P1 not NL P2
§4.4 Llama rename Acc_can (P1 unfiltered),§4.4,0.321,0.321101,BW_P1_behavioral.csv (NOT NL-tolerant P2),paired n=109 includes extra-bank IDs for Claude/GPT/Llama,MATCH,
§4.4 Llama rename Acc_W5 (P1 unfiltered),§4.4,0.101,0.100917,BW_P1_behavioral*.csv,n=109,MATCH,
§4.4 Llama rename Δpp,§4.4 / Conclusion,-22.0,-22.0183,BW_P1 P1 W5,"paper attributes to NL-tolerant protocol — numbers match P1, not P2",MATCH,
§4.4 Llama rename Wilcoxon p,§4.4,<1e-4,1.18e-05,BW_P1 paired can vs W5,n=109,MATCH,numeric p matches reported rounding; protocol label is P1 not NL P2
§4.4 GPT-4o rename Δpp unchanged,§4.4 / Conclusion,0,0,BW_P1,n=109,MATCH,
§4.4 o4-mini rename Δpp unchanged,§4.4 / Conclusion,0,0,BW_P1,n=65,MATCH,
§4.4 rename attributed to NL-tolerant Probe-2 protocol,§4.4,NL-tolerant protocol,"Probe-1 BW behavioral (OpenRouter), n=109 Claude/GPT/Llama and n=65 Gemini/o4-mini",BW_P1_behavioral.csv + gemini/o1mini files; NOT BW_P2_cci_nl.csv,unfiltered P1 paired can∩W5,MISMATCH,Numbers match P1 W5; NL-tolerant P2 files have only 3 models and do not produce these Acc_can/Acc_W5 pairs
§4.4 Claude semantic validity 0.68,§4.4,0.68,0.676267,BW_P2_cci.csv,"semantic_validity_rate mean, n=50",MATCH,
§4.4 Llama validity 0.27,§4.4,0.27,0.27329,BW_P2_cci.csv,semantic_validity_rate mean,MATCH,
§4.4 GPT-4o format failures 25.6/session,§4.4,25.6,25.6333,BW_P2_cci.csv,violation_format_error mean,MATCH,
§3 12 high-confidence labels,§3,12,12,ALGO triangulation 8+4,calibration points,MATCH,
§3/~62% ALGO ambiguous,§3,62%,0.615909,ALGO_P3_triangulation_v3.csv,271/440=61.6%,MATCH,
§4.2 / Conclusion elicitation raises invocation 10–50×,§4.2 / Conclusion,10-50×,rederive algorithm_invocation=0.0 for all models (response_type contains 'algo' mean),ALGO_P2_phase2_normal_elicited.csv,rederive uses response_type.str.contains('algo') which is ~0; paper uses reasoning_type classifier,NOT_RECOMPUTABLE,"Need algorithm_invocation_clean.csv / reasoning_type==algorithm_invocation rates, not rederive's response_type metric"
Appendix invocation n steps,Appendix invocation,13,10 documented in released CSV (paper: 10 shown + 3 Gemini omitted),results/paper/appendix_algorithm_invocation_cases.csv + Table 8,3 Gemini cases not in CSV,MATCH,Table 8 lists 10 of 13; Gemini 3 omitted for space — cannot independently count Gemini steps from this CSV
"~20,000 API calls",Abstract / Conclusion,20000,,not stored as a single counter in results/raw/,,NOT_RECOMPUTABLE,Would require summing all raw rows across probes; not verified here as a billed-call total
Table 6 P1 GSM Claude 44/44,Table 6,44,44,GSM_P1_behavioral_claude.csv,bank+valid,MATCH,
Table 6 P1 GSM GPT-4o 20/44,Table 6,20,20,GSM_P1_behavioral_gpt4o.csv,ERROR 041-064 dropped,MATCH,
Table 6 P2A elicited Claude 61,Table 6,61,61,ALGO_P2_phase2_normal_elicited.csv,,MATCH,
Table 6 P2B plausible 61,Table 6,61,61,ALGO_P2_phase2_injected.csv,,MATCH,
Appendix population Spearman r=+0.147 p=0.46 n=28,Appendix,+0.147,,paper/figures/scripts/gen_figures.py fig_population (uses derived triangulation instance_type + P1),cells with can>0,NOT_RECOMPUTABLE,Depends on triangulation instance_type map (disagrees with frozen 34/10/17); prior camera-ready audit matched by re-running the figure script
Appendix o4-mini excluded because W3=1.00,Appendix triangulation,1.00,0.609091,ALGO_P1_behavioral_o1mini.csv,overall W3 n=110,MISMATCH,"Exclusion applied (omini not in 440), but stated reason W3=1.00 is false; Acc_W3=0.609, Acc_can=1.00"
Appendix implausible pooled acc,Appendix Probe 2,54.1%,0.540984,ALGO_P2_phase2_injected_implausible.csv,Claude+GPT-4o only n=122 (paper n=122); all-five-model pool is lower,MATCH,
five models,Abstract,5,5,n/a,named in paper,MATCH,
CCI epsilon,§3,0.01,0.01,scripts/coverage_audit.py docstring / paper definition,definition,MATCH,
